id,record_sha256,part,qualifies_80,full_detail,returns_percent,sources
V16-0decedc13fffdb09,e1b63854e5e694eb41679cbde50fa94e3e5ca82ebae5380b4f6c3dbe93d41086,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":20.69136012,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":20.69136012}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0defa3fb23e6d6bd,1bd23bb2dc5676cba2b06dfc434b6c33881541e7b116ac7f53727a8a1948677c,records/part-0011.jsonl.gz,0,False,"{""worst_net"":30.75349732}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0defa3fb23e6d6bd,c31a66840db22cbc8e628552e650259f67f74edda9b2a8f7c684c3decea8c5d1,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":30.75349732,""regimes.BULL"":84.15899654,""regimes.SIDEWAYS"":84.22860214,""worst_net"":30.75349732}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0df10bf949df643a,f4841661acd6ce3013e6d711166f8c71e90679cede840b2e0094b985304ea705,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":50.60584426,""regimes.BULL"":84.05825311,""regimes.SIDEWAYS"":84.13038022,""worst_net"":50.60584426}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3;live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0df41cc80efdcd68,1084401c497242172a9f3cc92aca2da5ca56fefee2939dc937c91228aed085e0,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":20.59480704,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.26333105,""worst_net"":20.59480704}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0df41cc80efdcd68,406d3c4f41ce9b80abaae5b2b5927a0b778464862bb09d1d6b79539956628898,records/part-0011.jsonl.gz,0,False,"{""worst_net"":20.59480704}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0dfaf73d71530507,3745513a37c3d1e4d69986c738a539c590e024e65b571f493b096aa312ea1758,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":94.23175446,""regimes.BULL"":88.4140623,""regimes.SIDEWAYS"":88.4140623,""worst_net"":88.4140623}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3;live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0dfb868a36680046,3c6289cbaf7bb100b7b50a2bb1798cc0afd6b9d4fdf5182708af3124bf582635,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":19.89427479,""regimes.BULL"":79.80910703,""regimes.SIDEWAYS"":80.19303002,""worst_net"":19.89427479}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0dfb868a36680046,c5ddb26b0890565490fdccb36a891d438a3e1ef1d8e1960e27b66b68f6a48565,records/part-0011.jsonl.gz,0,False,"{""worst_net"":19.89427479}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0e09ca0c98bad98b,3ec07794dd447d474889a5ec1ee11316b253c19f8b6dbb22577abcd9dd01ace1,records/part-0011.jsonl.gz,0,False,"{""worst_net"":2.71517551}",live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
V16-0e09ca0c98bad98b,750609ce8e1e30eb24646c0db8693c18ee36881f8e5b9307fff0bcee9ea5ef96,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":2.71517551,""regimes.BULL"":88.34387834,""regimes.SIDEWAYS"":88.34387834,""worst_net"":2.71517551}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3
V16-0e1fdc94a8cf9566,eb793b0c6f339e2be81dd019560355e23ffbaaf08d185a80ce16b86fad6b3410,records/part-0011.jsonl.gz,1,True,"{""regimes.BEAR"":96.58010627,""regimes.BULL"":59.27016189,""regimes.SIDEWAYS"":59.61023075,""worst_net"":59.27016189}",before-cleanup/v16-59b126eb7bd78c8c.sqlite3;live/experiments/v16-59b126eb7bd78c8c/research.sqlite3
